time_s,0cm,0.1cm,0.2cm,0.3cm,0.4cm,0.5cm,0.6cm,0.7cm,0.8cm,0.9cm,1cm,1.1cm,1.2cm,1.3cm,1.4cm,1.5cm,1.6cm,1.7cm,1.8cm,1.9cm,2cm
660,2.549999999999367,2.5499999999975822,2.5499999999781995,2.5499999997955292,2.5499999982035146,2.5499999856410325,2.5499998968719515,2.5499993385071291,2.5499962228404169,2.5499808314803181,2.5499135967692568,2.549654020198922,2.5487683492906839,2.5460965944199709,2.5389640071259052,2.5220862440275069,2.4866010347692531,2.4200871917574345,2.3084484039276538,2.1397705452139073,1.9089926247452402
720,2.5499999999933674,2.5499999999786698,2.5499999998447627,2.5499999988073774,2.549999991315504,2.5499999418174437,2.5499996458102454,2.5499980529159223,2.549990365866309,2.5499571660149654,2.5498289899410596,2.5493868841834728,2.5480246248734608,2.5442733841597995,2.5350335984563768,2.5146452807480948,2.4742510145501915,2.4021694102320907,2.2858657309520054,2.1154118015410512,1.8873218541192764
780,2.5499999999510954,2.5499999998634446,2.5499999991717881,2.5499999946295442,2.5499999666580284,2.5499998077161612,2.5499989828261,2.5499950951146224,2.5499785120614464,2.54991462327281,2.5496925685697014,2.548996718656694,2.5470308851379646,2.5420223736504317,2.530504406810401,2.5065613612729298,2.4614750729691557,2.3843486687156465,2.2640752589685174,2.0924016930397382,1.8670902637707261
840,2.549999999726408,2.5499999993209328,2.5499999964804405,2.5499999802784239,2.5499998932625201,2.5499994589301269,2.5499974635939577,2.5499890739531188,2.5499568962749741,2.5498445468412716,2.5494878704436279,2.5484588970950535,2.5457617290517076,2.5393358527275702,2.5254095099300371,2.4979164657582289,2.4483768266209576,2.3666898062766486,2.2430414915981762,2.070604787982318,1.8481240888689923
900,2.549999998773091,2.5499999972426393,2.5499999875385351,2.5499999385145191,2.5499997046975409,2.5499986620090049,2.5499943540831649,2.5499779539859095,2.5499206134793715,2.5497368580254851,2.5491977644436532,2.5477507646482516,2.5441977596118783,2.5362144124305281,2.5197865465122193,2.4887871169947213,2.4350458856815145,2.3492479574729139,2.2227442926939629,2.0499096551434488,1.830241135798679
960,2.5499999954044541,2.5499999905090167,2.5499999619769937,2.5499998322624609,2.5499992747007632,2.5499970224805737,2.5499885454438846,2.5499589723618539,2.5498636563269677,2.5495803950217124,2.5488051419956879,2.5468522947958849,2.5423253939389672,2.5326654673084215,2.5136758050971357,2.4792431485303279,2.4215551276198628,2.3320561040500984,2.2031378837035764,2.0301948174566622,1.8134090124652897
1020,2.549999985163637,2.5499999715029533,2.5499998974024245,2.5499995902134067,2.5499983856367257,2.5499939277507342,2.5499784787518522,2.5499285976739858,2.5497790216334417,2.5493632786483693,2.5482934575801606,2.5457463074340381,2.5401359285705238,2.5287005714461417,2.5071160446427028,2.4693431270126567,2.4079573812402995,2.3151266914469582,2.1841763434264134,2.0113938509642089,1.7974913629254405
1080,2.5499999576947774,2.5499999236808959,2.5499997502138232,2.5499990872042346,2.5499966911421095,2.5499884896031393,2.5499620859617349,2.5498825281399475,2.5496588560770892,2.5490732450028237,2.5476470891437564,2.5444184487150037,2.5376248123017473,2.5243345408083941,2.5001456962415523,2.4591413956829209,2.3943021184609741,2.2984796989703424,2.1658369555094379,1.9934244820046909,1.7824863434348364
1140,2.5499998913776243,2.5499998144502314,2.5499994425040264,2.5499981195374395,2.5499936750520793,2.5499794907565807,2.5499367510067343,2.5498157260722611,2.5494946323863918,2.5486979660222135,2.546851646731179,2.542857172852214,2.5347909837671225,2.5195838935106178,2.4927996331462943,2.4486805230621154,2.3806180881993031,2.2821066339736356,2.1480643717049368,1.9762385550738839,1.7683086271217119
1200,2.5499997449548859,2.5499995846509873,2.5499988447154354,2.5499963759556019,2.5499886090681714,2.5499653389770645,2.5498992911898242,2.5497224761543014,2.5492773165775247,2.5482252624383488,2.5458939999419381,2.5410532337688592,2.5316356614068702,2.5144655831031653,2.4851102459752923,2.437999909319005,2.3669375271974582,2.2660214067844073,2.1308571609310154,1.9597933264735865,1.7548380449939949
1260,2.5499994454566814,2.5499991340881922,2.549997754027622,2.5499934052920339,2.5499805112974081,2.5499440304061083,2.5498459566068226,2.5495964614380426,2.5489975391333037,2.5476433286926765,2.5447624700308382,2.5389998513477336,2.5281628020740503,2.5089983668086759,2.4771098462728953,2.4271369919111478,2.3532897038686249,2.2502327889560232,2.1141922952136283,1.9440348171292716,1.7419705868523838
1320,2.5499988719087261,2.549998302799104,2.5499958687986184,2.5499885821716384,2.5499681080720236,2.5499131247590361,2.5497724498773744,2.5494308608417895,2.5486457755929903,2.5469409387445929,2.5434469328458102,2.5366925627372554,2.5243786213757384,2.5032020691400572,2.4688300116031501,2.4161275101535447,2.3397030813895832,2.234749579849864,2.0980468224401392,1.9288922601918517,1.729738405573318
1380,2.549997834599643,2.5499968480626785,2.5499927597429064,2.5499810723650853,2.5499498011577617,2.5498697334189311,2.549673963322213,2.549218457891735,2.5482125155149382,2.5461076031396632,2.5419388299073522,2.5341289189993375,2.5202907654224878,2.4970957969982783,2.4602977143831168,2.4049970218449932,2.3261885699478175,2.2195545735617626,2.0823717080072557,1.9143392293987163,1.7181343729509464
1440,2.549996050021865,2.5499944174917153,2.5499878387710035,2.549969799270575,2.549923641419364,2.549810518578111,2.5495452240399104,2.5489517346876314,2.5476883596707469,2.5451335492417702,2.5402308502188928,2.5313077246666174,2.5159072407973557,2.4906974010820102,2.4515374940858674,2.3937700493582152,2.3127626900788338,2.2046524232333522,2.0671688114574449,1.9003589051262162,1.7069976866873224
1500,2.5499931118522756,2.5499905187290728,2.5499803263128968,2.549953412259494,2.5498873084048284,2.5497317002552005,2.549380543178962,2.5486229634240618,2.547064130786997,2.5440098279113008,2.5383170899853758,2.5282295141890514,2.5112377387589113,2.4840262076101256,2.4425754278482485,2.3824733366206798,2.2994457975398643,2.1900525539531572,2.0524293968831802,1.8869034756812608,1.6962501003471873
1560,2.5499884586462356,2.5499844865651045,2.5499692182911136,2.5499302584882364,2.549838098335317,2.5496290768274399,2.5491738841618936,2.5482243265715758,2.546331033090131,2.5427284899311258,2.5361932320803762,2.5248967335128718,2.5062937814302781,2.4771029652837799,2.4334386190604911,2.3711347585245073,2.2862596210482078,2.1757622050424956,2.0381330668582991,1.8739147398350593,1.6859257691125822
1620,2.5499813394115405,2.5499754487956672,2.5499532544383512,2.5498983602500611,2.5497729226147925,2.5494980600742045,2.5489189458316539,2.5477480452568346,2.5454807987849311,2.5412826933742236,2.5338565166047085,2.5213133906192011,2.5010876649759584,2.4699472993012814,2.4241497830240011,2.3597728616676243,2.2732093727315372,2.1617637200955842,2.0242380341585866,1.8613722134290562,1.6760019559219765
1680,2.5499707785212897,2.5499622923324217,2.5499308894589565,2.5498553987305099,2.549688315305779,2.5493337166123617,2.5486092368853899,2.5471864592886679,2.5445057047600308,2.5396665423227702,2.5313052669228457,2.5174842066436032,2.4956314689081687,2.4625775143658193,2.4147299869008836,2.3484062801509387,2.2603056025328825,2.1480567844516245,2.0107385786861913,1.8492501878082983,1.6664391918930532
1740,2.5499555410953136,2.5499436305420047,2.5499002673658016,2.5497987029296922,2.5495804457492723,2.5491308103329358,2.5482381443935296,2.5465321044845743,2.5433986376047364,2.5378751470474112,2.5285390295969807,2.5134150151861596,2.4899378662742206,2.4550115143921927,2.4051981532213285,2.3370484203296376,2.247548872615666,2.1346235642929821,1.9975956591282227,1.8375141285412362,1.6573276561881365
1800,2.5499341002123179,2.5499177731317522,2.5498592002248728,2.5497252451497192,2.5494451389293729,2.548883851374621,2.5477990031691089,2.5457777732656504,2.5421530853249368,2.5359044412628808,2.5255580401555799,2.5091115940392483,2.4840179363245514,2.4472632843084416,2.3955665573351035,2.3257039624797358,2.2349312302956577,2.1214428274869839,1.9847877163054848,1.8261734415114232,1.6486177696871263
1860,2.5499046068903644,2.5498826992224424,2.5498051508151187,2.5496316397502139,2.5492778940418508,2.5485871294632472,2.5472851223480957,2.5449164917633067,2.5407630086030313,2.5337509108391325,2.5223628669211422,2.5045795024626205,2.4778818637375517,2.4393456704986041,2.3858474366289313,2.3143810559513085,2.2224551254368587,2.1085148985366162,1.9723200655075919,1.8152151483961143,1.6402443932724584
1920,2.5498648625318632,2.5498360329817151,2.5497352177589292,2.5495141432466668,2.5490739020323456,2.5482347456456389,2.5466898224666576,2.5439415564779488,2.5392228967904074,2.5314117477786664,2.5189548240491533,2.4998249660825116,2.4715404181077338,2.4312721986353942,2.376054138949419,2.3030898801593214,2.2101264534848046,2.0958427949549305,1.9601911189951022,1.8046258513942908,1.6321075880147748
1980,2.5498122953797466,2.5497750235906316,2.5496461258879779,2.5493686611926258,2.5488280729776953,2.5478206606456717,2.546006502216688,2.5428466180341029,2.5375278765008984,2.5288850098309537,2.5153362350207846,2.4948553409828516,2.46500581510616,2.4230587598260662,2.3662044650470921,2.2918486930455444,2.197963291567985,2.0834426105628356,1.9484044843425992,1.7943598523374955,1.6241802328251187
2040,2.5497439433873019,2.5496965320871299,2.5495342248469361,2.5491907656564554,2.5485350781489138,2.5473387657721687,2.5452287432796923,2.5416258314851317,2.5356739316170684,2.5261699425694424,2.5115108573820786,2.4896794960822124,2.4582915356948667,2.4147216005930026,2.3563143339259289,2.2806690935238425,2.185967903672168,2.0712994154575255,1.9369188829595361,1.7843824408677407,1.6165266533115534
2100,2.5496564467129423,2.5495970283716467,2.549395499284826,2.5489757258743921,2.5481894049245559,2.546782958573941,2.5443503888842725,2.5402738926316495,2.5336578024744143,2.5232665659803928,2.5074828796290598,2.4843058810989591,2.4514092484754921,2.4062734097628304,2.3463944869730615,2.2695566659830591,2.1741374541119698,2.0594002693330231,1.9257205304420102,1.7746955787423806,1.6090911120577944
2160,2.5495460477597796,2.5494725951558208,2.5492255834320461,2.5487185364672498,2.5477853944190159,2.5461471744258404,2.5433655405258286,2.5387859625836633,2.531476813454629,2.52017544141462,2.5032568085369857,2.4787429627437931,2.4443705262501538,2.3977272326192667,2.3364573176087053,2.258520829009611,2.1624765070058034,2.0477454514647442,1.9148069063120208,1.7652790327686401,1.6018523397502855
2220,2.5494085956701804,2.5493189357681589,2.5490197778442147,2.5484139458876478,2.5473172803969923,2.5454254317224194,2.5422686076621166,2.5371577335919202,2.5291289940025359,2.5168979200717532,2.4988379242480612,2.4729998780814912,2.43718741066716,2.3890961309468306,2.3265141782066303,2.2475679708363887,2.1509834660867315,2.0363228946410423,1.9041529686479601,1.7561098700998452,1.5948758676502504
2280,2.5492395597587332,2.5491313909836282,2.5487730755502125,2.5480564952416214,2.5467792400191898,2.5446118882740625,2.5410543558735794,2.5353854423608277,2.5266130055574632,2.5134358840654878,2.4942316564106655,2.4670851659682311,2.4298701616291134,2.3803897621570402,2.316571168721568,2.236697724479495,2.1396495985336812,2.0251163024433936,1.8937446559263229,1.7471986052649964,1.5881033560164319
2340,2.5490340497612727,2.5489049617004422,2.5484801905912109,2.5476405518007881,2.5461654241778886,2.5437008505709811,2.5397178667781275,2.5334657462210459,2.5239279083960824,2.5097914217465327,2.4894432945001528,2.4610068522838104,2.4224284081665588,2.3716177419934241,2.3066361924640373,2.2259150439071043,2.1284769052459427,2.0141271741433187,1.8835837632023222,1.7385198201107976,1.5815258301567623
2400,2.5487868368640063,2.5486343314178299,2.5481355837463231,2.547160336952631,2.5454699837338133,2.5426867946102982,2.5382545580425537,2.531395768117477,2.5210732911423799,2.5059671321031467,2.4844785420636146,2.4547731883661292,2.4148716336119636,2.3627887486790602,2.2967146187272403,2.2152196310953878,2.1174581459013244,2.0033409734653835,1.8736490987582237,1.730071349303214,1.5751448592595372
2460,2.5484923818810432,2.5483138959657268,2.5477334960669049,2.546609963409912,2.54468710672068,2.5415643947014064,2.5366601882466271,2.5291730492421101,2.518049121246968,2.5019657971254463,2.4793429336439821,2.4483918332896795,2.4072084690801017,2.3539109677526175,2.2868129897673573,2.2046159564269208,2.1065962290869851,1.9927605345370314,1.8639450979395797,1.721840121437425,1.5689497091655911
2520,2.5481448665166382,2.5479377953389397,2.5472679814959327,2.5459834664756915,2.5438110437932386,2.5403285391387,2.534930866514693,2.5267955764943379,2.5148558497698956,2.4977906674691499,2.4740424256607718,2.4418707968302398,2.3994477324658479,2.3449922855026792,2.2769362698364293,2.1941041919053985,2.0958852618869006,1.9823732912172658,1.8544533483364476,1.7138228321387763,1.5629294216136094
2580,2.5477382307148089,2.5474999518203365,2.546732946727833,2.5452748450273126,2.5428361474478796,2.5389743614692608,2.5330630632717588,2.5242617463667876,2.5114942761404984,2.493445140860068,2.4685827842234818,2.4352175051697773,2.3915974272523335,2.3360401249007423,2.2670905308248646,2.1836891480536496,2.0853299950983972,1.9721865732133097,1.8451863751295567,1.7060130732613494,1.5569910206160218
2640,2.5472662122899328,2.5469941093585922,2.5461221891477077,2.5444780952533583,2.5417568978467733,2.5374972574109851,2.5310536288238965,2.5215704238358252,2.5079657393223393,2.4889332595844698,2.4629706573723338,2.4284407621475514,2.383667776013799,2.3270652365401001,2.257286132040802,2.1733798619717932,2.0749369546958643,1.9622011593292477,1.8361279330311095,1.6983692552818512,1.5512065282662855
2700,2.5467223969632014,2.5464138848503892,2.545429452144802,2.5435872739834844,2.5405679808493793,2.5358929881491661,2.5288999340286815,2.5187211217413266,2.5042722943940405,2.48425973777112,2.4572131060707454,2.4215491254164219,2.375667402301437,2.3180743484759896,2.2475255785161368,2.1631721492771869,2.0646926170469082,1.9523914646451013,1.8272466089293926,1.6908998905330628,1.5455906981540324
2760,2.5461002832292099,2.5457528328079047,2.5446484878573039,2.5425965533278609,2.5392643192396145,2.5341576565174422,2.5265997337834269,2.5157136593241898,2.5004160427099351,2.4794288462314764,2.4513160385117589,2.4145492043476611,2.3676024448285009,2.3090720501667077,2.2378113222093567,2.1530664921009453,2.0545967993076171,1.9427615049392946,1.8185598483749181,1.6836115435439736,1.5400417024669661
2820,2.5453933211984134,2.5450044804450118,2.5437730800701877,2.5415002210052893,2.5378410399222595,2.5322876378605756,2.5241510830466778,2.5125481403990282,2.4963993482240321,2.4744451854223031,2.4452860102679232,2.4074490256160743,2.3594818392952486,2.300067680004144,2.228152713451816,2.143072044055637,2.0446587687139273,1.9333203533435379,1.8100669429817244,1.6764726789673186,1.5345532255444139
2880,2.5445949545694337,2.5441623699415921,2.5427970887597455,2.5402927338956518,2.5362935524138277,2.5302797132992048,2.52155256989208,2.5092253366482167,2.4922253948015904,2.4693143476878081,2.4391307254274865,2.4002577855420455,2.351315323671066,2.2910702364523603,2.2185564407455263,2.1331914251922379,2.0348747792949675,1.924053365762596,1.801737786940607,1.6694604404920632,1.5292018972251982
2940,2.5436987020978465,2.5432201410874256,2.5417145359673334,2.5389688076830086,2.5346176379437284,2.5281311417237755,2.5188033281411624,2.5057465530810106,2.4878977488035523,2.4640419404174816,2.4328572217085176,2.3929829203196391,2.3431093245572714,2.2820835061837852,2.2090220675828682,2.1234186895642218,2.0252325658434667,1.9149435715745766,1.7935632499619369,1.6625981254120215,1.5239414706841883
3000,2.5426982225457482,2.5421715918329477,2.5405196514279553,2.5375234319035016,2.5328094101969305,2.5258395335820123,2.5159027875593143,2.5021132314585657,2.4834198455120555,2.4586331096913914,2.4264718176574895,2.3856312249759286,2.3348704533489504,2.2731135388801191,2.1995551652259606,2.1137595142878598,2.0157393493128959,1.9060030328011188,1.7855588786626402,1.6558640861661054,1.51870923814421
3060,2.5415873395204076,2.5410106994668871,2.5392068838457624,2.5359518693693088,2.5308653114919775,2.5234028737099727,2.5128507892124694,2.4983272734803519,2.4787956836012524,2.4530937766769814,2.419981952738322,2.3782110228837641,2.3266070498195073,2.2641675622265036,2.1901604495360965,2.1042146358134279,2.0063906588314659,1.8972195195353196,1.7776991424774116,1.6492416197472295,1.5135729968089193
3120,2.5403601037712122,2.5397316841787756,2.5377709690125223,2.5342497337465444,2.5287822047710944,2.520819625987297,2.509647678947089,2.4943910511124536,2.4740295997037283,2.4474299213713704,2.4133946469867409,2.3707295122551235,2.3183254459689784,2.2552499494225549,2.1808393812130293,2.0947818697265452,1.9971797586470958,1.8885809078389721,1.7699705355315765,1.6427252139373203,1.5085772855036441
3180,2.5390108573210846,2.5383290693072378,2.5362069773387379,2.5324130123056841,2.526557354263602,2.5180886483165033,2.506294128326525,2.4903071062019158,2.4691258302189736,2.441647007798168,2.4067157959712211,2.3631918865182908,2.3100286949689131,2.246359965115091,2.1715857440862965,2.0854480654045044,1.9880861681048336,1.8800624825261967,1.7623568330684025,1.6363402981883901,1.5037347506659517
3240,2.537534248524008,2.5367976895772859,2.5345103006663909,2.5304380137750448,2.5241883118967645,2.5152089884041433,2.5027908037468301,2.4860776553502002,2.4640878322606672,2.4357491688257853,2.3999494376467214,2.3556012480056978,2.3017182832381349,2.2374972587762376,2.1623979036403966,2.0762119954205058,1.9791126493814364,1.8716777514568099,1.7548866606215625,1.6300906661219197,1.4989467369231433
3300,2.5359251866201231,2.535132639491692,2.5326765838388487,2.5283212786344658,2.5216728162168263,2.5121798096138304,2.4991384068421523,2.4817049066259105,2.4589191298905111,2.4297409112574258,2.3931006319119827,2.3479627483668439,2.2933990196975103,2.2286659273917584,2.1532790184572077,2.0670760804885058,1.9702617453034699,1.8634284246482207,1.7475508148388146,1.6239510075659342,1.494231148899275
3360,2.5341788520799966,2.533329288102165,2.5307017551675659,2.5260596430847899,2.5190089156699975,2.5090006028026335,2.495337992112534,2.4771914571682832,2.4536236757480232,2.4236271829480858,2.3861748038679846,2.3402816573053014,2.2850753547219416,2.2198690664166478,2.1442306929809698,2.0580408941300155,1.9615334366199937,1.8553128838381083,1.7403458514838901,1.6179192140329333,1.4895386635172645
3420,2.5322907689810736,2.5313833515471615,2.5285820987146344,2.5236503080333117,2.5161950258584711,2.5056712150092446,2.4913909410950832,2.4725401843749188,2.448205648848345,2.4174131248993622,2.3791776143734005,2.332563693313189,2.2767527089985706,2.2111117063632761,2.1352578172370889,2.0491115241761055,1.9529327517050485,1.8473345164414077,1.7332681237728707,1.6119713593124749,1.4848823721624174
3480,2.5302568596113266,2.5292909469570213,2.5263143067094207,2.5210908912654504,2.5132299867149759,2.5021919233340535,2.4872990729606808,2.467754419769602,2.4426697136297988,2.4111044037828973,2.3721152652062303,2.3248150232947111,2.2684365929769883,2.2023980743833147,2.1263626837988405,2.0402875107855509,1.9444552192026556,1.8394830181115429,1.7263032681851282,1.6061091885303922,1.4802431542654588
3540,2.5280735116757298,2.5270486591889623,2.5238955443280311,2.5183794866788105,2.5101131075549614,2.498563447288535,2.4830645896317045,2.4628377720912273,2.4370206510403292,2.4047065929951916,2.3649936480848952,2.3170413833254373,2.2601322387430209,2.1937327797858659,2.1175493756397419,2.0315725095782939,1.9361039822487076,1.8317613349885344,1.7194529987540508,1.6003159535991054,1.4756175296629392
3600,2.5257376140978947,2.5246535734648141,2.521323473226297,2.515514674424951,2.5068441639916501,2.494786942421078,2.4786900939737029,2.4577942247779032,2.4312636196275585,2.3982256924969727,2.3578191649113469,2.3092490526171838,2.2518451828109938,2.1851198217050083,2.108819229738514,2.0229636125402388,1.9278698456733132,1.8241512635523329,1.7126894285944776,1.5945805378499947,1.4710935952133766
3660,2.5232465980079599,2.5221033158942139,2.5185962903432384,2.5124955550271273,2.5034234189388256,2.4908639862307576,2.4741784907619881,2.4526278530386314,2.4254035158170897,2.3916668676461339,2.3505965003764677,2.3014413122442612,2.2435762484193966,2.1765564483452402,2.1001648657690981,2.0144480631585173,1.9197348630844508,1.8166334373573383,1.7060066199800552,1.5889336778274561,1.4666569734208559
3720,2.5205984114167928,2.5193960174436887,2.5157126579170019,2.5093216170577932,2.4998513927229484,2.4867962111102209,2.4695324496836188,2.4473421174522625,2.4194441807468023,2.3850338092719827,2.3433286301120582,2.293619950420247,2.2353258055153522,2.1680417613054397,2.0915847612970637,2.0060250694371664,1.9117018303250017,1.8092195987673685,1.6994260926225233,1.5833717276414045,1.4622500255747386
3780,2.5177913826255991,2.5165301735233783,2.512671554999057,2.5059925875592266,2.4961287412014102,2.4825852744635348,2.464754581514037,2.4419404171573014,2.4133895436794996,2.3783306648586389,2.3360195968533666,2.2857885952361725,2.2270967570453588,2.1595775897008842,2.083079328141177,1.9976935795777877,1.9037686290338982,1.8019052539851685,1.6929346376879173,1.5778806859321637,1.4579176698210266
3840,2.5148242063910353,2.5135046390743891,2.5094723004370736,2.5025085039673431,2.4922563965321558,2.4782330765310188,2.4598477088535335,2.4364263261397245,2.4072436386010025,2.3715615313054599,2.3286730799439255,2.2779499759394022,2.21889035463342,2.1511633123897118,2.0746460388867916,1.9894496454873403,1.8959305480829358,1.7946856657328014,1.6865316472051761,1.5724683700665854,1.453613219001757
3900,2.5116959833818937,2.5103186652882501,2.5061145798394238,2.4988697197721383,2.4882355331666126,2.4737416617072383,2.4548146770301957,2.4308033033794354,2.401010249073201,2.3647301608838611,2.3212924319780361,2.2701067408772233,2.2107084062451063,2.1428000549192219,2.0662858670312554,1.9812949113203568,1.8881908701688059,1.7875665446791906,1.6802217070223751,1.5671198696026416,1.4493151219565532
3960,2.5084062007567103,2.5069718797701128,2.5025984259629306,2.4950768905287215,2.4840675738018265,2.46911327253639,2.4496585021582624,2.4250749989814424,2.3946934449860162,2.3578407836851309,2.3138817745322675,2.2622626655818143,2.202554174530627,2.1344904931115321,2.0580008971530748,1.9732308287624796,1.8805499201688456,1.780544883687617,1.6739948157982802,1.5618261099046136,1.4450485025976443
4020,2.5049547693276244,2.5034643283115181,2.4989242743486666,2.4911310521092136,2.4797542961098915,2.4643504824538516,2.444382509906613,2.4192453491857155,2.3882975421002883,2.3508977926109198,2.3064452323226661,2.2544212588160608,2.1944302533868463,2.1262361057068659,2.0497913986529053,1.9652563403140153,1.8730049166909688,1.7736160265879628,1.6678474233437381,1.5565885312924355,1.4407767267125706
4080,2.5013420712311678,2.4997965203282928,2.4950930010383141,2.4870336422349508,2.4752978251942679,2.4594561418886882,2.4389902169573419,2.4133183830695595,2.3818268492381636,2.3439054967840689,2.2989868378964111,2.2465860663281094,2.1863396237299773,2.1180393966277982,2.0416596045695758,1.9573736149811627,1.8655581972590487,1.7667828031682002,1.6617804565494074,1.5513931972253425,1.4364795018027992
4140,2.4975689589049255,2.495969427116556,2.4911059195886334,2.4827864987617421,2.4707006415156112,2.4544334136557331,2.4334854247581097,2.4072984200116236,2.3752860240536164,2.3368686810495958,2.2915112920344343,2.2387615162311305,2.1782862684867905,2.1099036869796048,2.0336077970647763,1.9495832123432346,1.8582073093921467,1.7600369973590688,1.6557764339681698,1.5462260326554575,1.4322421797369038
4200,2.4936367893286504,2.4919845188686849,2.4869648260503316,2.4783919161460344,2.4659656475934884,2.4492858375520643,2.427872247640781,2.4011899883772871,2.3686797491179017,2.3297918232044554,2.2840224083253062,2.2309501923406021,2.1702708612047714,2.1018269451289142,2.025630360287006,1.9418750364423618,1.8509370390114013,1.7533599051082531,1.6498252878111543,1.5411134433786162,1.4280465739696142
4260,2.4895474135557158,2.4878437449767716,2.4826719492069045,2.4738525378244303,2.4610959641279728,2.4440169803913703,2.4221545612259261,2.3949970292675604,2.3620116990960396,2.3226779506131106,2.2765222017809772,2.2231528352513474,2.1622928055322248,2.0938074528559896,2.0177249800607706,1.934247107737662,1.8437477489428777,1.7467584792828745,1.6439408031731586,1.5360456963197373,1.4238677676248122
4320,2.4853029989853388,2.4835493510897222,2.4782297550984973,2.4691711511891028,2.4560947384406822,2.4386303134948144,2.4163360500425077,2.3887232671576948,2.3552854256674198,2.3155302167081815,2.2690132077596643,2.215371141950834,2.1543526965365665,2.0858443322171913,2.009888835502867,1.9266943297351753,1.836632006160519,1.7402216798320518,1.6381059788440904,1.5310198844993006,1.4197797292326477
